LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,flag
MAC003822,9/16/2013,0.091,0.184,2.15,48,0.353,8.843,0.034,no
MAC002859,6/19/2013,1.501,0.508,1.312,5,0.005,5.331,1.264,yes
MAC001966,2/5/2014,0.809,0.753,4.781,15,1.342,94.839,1.125,yes
MAC003427,2/11/2013,0.3,0.376,1.636,48,0.328,18.049,0.062,no
MAC001966,7/15/2013,0.016,0.971,1.84,31,0.214,40.829,1.602,yes
MAC003365,11/28/2012,0.062,0.113,0.598,48,0.136,5.424,0.014,no
MAC003211,4/22/2013,0.34,0.417,1.406,48,0.345,20.001,0.065,no
MAC000606,7/23/2012,0.146,0.158,0.39,48,0.067,7.594,0.056,no
MAC003822,8/5/2013,0.084,0.092,0.178,48,0.04,4.416,0.035,no
MAC000606,8/28/2012,1.096,1.2,2.278,18,0.922,45.963,0.945,yes
MAC002606,1/22/2014,0.145,0.17,0.508,48,0.108,8.166,0.047,no
MAC003173,12/8/2013,0.158,0.21,1.227,48,0.18,10.068,0.075,no
MAC000606,10/17/2012,1.596,2.197,4.245,1,0.977,101.226,1.54,yes
MAC002327,3/23/2013,2.351,1.552,4.659,2,0.868,57.56,2.26,yes
MAC004633,9/6/2012,0.112,0.166,0.669,48,0.117,7.96,0.052,no
MAC003355,12/30/2012,0.338,0.42,1.327,48,0.256,20.168,0.144,no
MAC001448,6/10/2013,0.157,0.124,4.855,10,1.415,38.761,1.555,yes
MAC002327,5/10/2012,1.338,0.255,2.526,10,1.382,83.845,1.029,yes
MAC000897,7/7/2013,1.881,1.593,1.998,24,0.366,77.953,0.405,yes
MAC002327,12/9/2013,0.203,0.347,1.551,48,0.324,16.653,0.114,no
MAC002859,7/17/2013,0.102,0.157,0.721,48,0.156,7.553,0.054,no
MAC004567,6/3/2013,0.115,0.166,0.736,48,0.165,7.974,0.038,no
MAC003365,12/19/2013,0.043,0.087,0.513,48,0.1,4.157,0.01,no
MAC002214,8/10/2013,0.107,0.169,1.006,48,0.173,8.132,0.041,no
MAC002859,7/6/2012,1.918,1.511,4.699,3,1.107,48.068,1.881,yes
MAC002599,2/17/2014,1.495,0.775,1.94,3,1.416,22.969,1.76,yes
MAC004567,2/6/2014,0.219,0.286,1.424,48,0.296,13.749,0.048,no
MAC002595,7/31/2012,2.387,0.257,0.982,20,0.178,22.809,0.613,yes
MAC002474,8/7/2013,0.053,0.074,0.776,48,0.122,3.568,0.013,no
MAC001448,1/14/2013,1.779,1.21,0.1,8,0.363,13.093,2.039,yes
MAC002859,5/20/2012,1.27,1.728,4.78,10,0.683,5.33,2.099,yes
